#                       1.000e-06 2.000e-04 1.000e-04 2.000e-03 1.000e-03
# iter          energy    delta_e   grad_max   grad_rms   disp_max   disp_rms
172    47.918000513262 -8.134e-03  4.091e-01  7.549e-01  6.661e-04* 2.159e-03 
173    47.915356879942 -2.644e-03  6.525e-01  1.626e+00  6.078e-04* 1.973e-03*
174    47.904329490452 -1.103e-02  4.411e-01  1.220e+00  8.141e-04* 2.037e-03 
175    47.901985536296 -2.344e-03  7.067e-01  2.121e+00  6.384e-04* 1.786e-03*
176    47.891870706540 -1.011e-02  2.958e-01  6.970e-01  7.056e-04* 1.645e-03*
177    47.891774206438 -9.650e-05  3.615e-01  9.510e-01  8.555e-05* 2.160e-04*
178    47.882041715361 -9.732e-03  6.019e-01  1.548e+00  1.493e-03  3.999e-03 
179    47.870350900691 -1.169e-02  4.188e-01  9.385e-01  1.112e-03  2.757e-03 
180    47.868143492628 -2.207e-03  7.521e-01  1.842e+00  8.969e-04* 2.449e-03 
181    47.855118543187 -1.302e-02  3.542e-01  9.406e-01  9.927e-04* 2.597e-03 
182    47.854967053067 -1.515e-04  4.397e-01  1.177e+00  1.355e-04* 3.814e-04*
183    47.847308769540 -7.658e-03  4.256e-01  1.345e+00  1.024e-03  3.069e-03 
184    47.826509126728 -2.080e-02  1.025e+00  3.590e+00  4.894e-03  1.460e-02 
185    47.807412826105 -1.910e-02  2.719e-01  5.640e-01  9.997e-04* 2.387e-03 
186    47.807396235526 -1.659e-05  2.884e-01  6.144e-01  2.574e-05* 6.226e-05*
187    47.804725881248 -2.670e-03  2.716e-01  7.065e-01  4.433e-04* 9.978e-04*
188    47.800540662512 -4.185e-03  4.368e-01  1.224e+00  1.128e-03  2.838e-03 
189    47.796303001421 -4.238e-03  2.152e-01  6.902e-01  5.050e-04* 1.163e-03*
190    47.796114385716 -1.886e-04  2.900e-01  8.636e-01  1.437e-04* 3.610e-04*
191    47.793009642562 -3.105e-03  2.739e-01  6.635e-01  5.788e-04* 1.852e-03*
192    47.787923002672 -5.087e-03  4.928e-01  1.108e+00  1.631e-03  5.584e-03 
193    47.782479597369 -5.443e-03  2.316e-01  4.576e-01  6.319e-04* 1.706e-03*
194    47.782367913822 -1.117e-04  2.892e-01  5.996e-01  1.140e-04* 3.126e-04*
195    47.779543403234 -2.825e-03  2.044e-01  5.976e-01  5.359e-04* 1.212e-03*
196    47.778807142606 -7.363e-04  3.458e-01  9.090e-01  4.883e-04* 1.117e-03*
197    47.775722719928 -3.084e-03  2.087e-01  6.327e-01  4.720e-04* 1.278e-03*
198    47.775412052721 -3.107e-04  2.962e-01  8.269e-01  2.218e-04* 5.348e-04*
199    47.773380322359 -2.032e-03  1.490e-01  2.165e-01  3.557e-04* 8.467e-04*
200    47.773317125937 -6.320e-05  1.959e-01  3.373e-01  8.244e-05* 2.174e-04*
