#                       1.000e-06 2.000e-04 1.000e-04 2.000e-03 1.000e-03
# iter          energy    delta_e   grad_max   grad_rms   disp_max   disp_rms
179   -38.256756023281 -1.366e-05  2.651e-02  7.021e-02  3.035e-05* 7.711e-05*
180   -38.256799591980 -4.357e-05  2.592e-02  5.669e-02  1.273e-04* 3.646e-04*
181   -38.256824652471 -2.506e-05  4.618e-02  8.347e-02  8.730e-05* 2.411e-04*
182   -38.256869652211 -4.500e-05  2.800e-02  7.179e-02  6.440e-05* 1.463e-04*
183   -38.256873256794 -3.605e-06  4.177e-02  1.117e-01  2.781e-05* 6.665e-05*
184   -38.256901922106 -2.867e-05  1.861e-02  4.365e-02  4.791e-05* 1.087e-04*
185   -38.256902191856 -2.698e-07* 2.314e-02  5.591e-02  5.991e-06* 1.469e-05*
186   -38.256935928475 -3.374e-05  4.383e-02  1.432e-01  1.087e-04* 3.005e-04*
187   -38.256970608512 -3.468e-05  2.231e-02  5.337e-02  5.483e-05* 1.492e-04*
188   -38.256971098552 -4.900e-07* 2.880e-02  7.061e-02  8.556e-06* 2.437e-05*
189   -38.257000355564 -2.926e-05  3.059e-02  8.614e-02  7.565e-05* 2.075e-04*
190   -38.257173967232 -1.736e-04  1.054e-01  2.027e-01  7.333e-04* 2.118e-03 
191   -38.257308487090 -1.345e-04  3.802e-02  9.483e-02  7.927e-05* 1.711e-04*
192   -38.257309508574 -1.021e-06  4.356e-02  9.156e-02  8.012e-06* 1.730e-05*
193   -38.257360249559 -5.074e-05  2.139e-02  4.209e-02  6.667e-05* 1.136e-04*
194   -38.257361583540 -1.334e-06  2.461e-02  5.207e-02  1.317e-05* 2.183e-05*
195   -38.257369658347 -8.075e-06  1.561e-02  3.785e-02  1.793e-05* 3.414e-05*
196   -38.257372383006 -2.725e-06  2.814e-02  6.761e-02  1.821e-05* 4.832e-05*
197   -38.257388141128 -1.576e-05  1.768e-02  3.731e-02  3.033e-05* 7.660e-05*
198   -38.257389830772 -1.690e-06  2.846e-02  5.835e-02  1.638e-05* 4.620e-05*
199   -38.257405578919 -1.575e-05  1.803e-02  4.143e-02  3.381e-05* 8.420e-05*
200   -38.257407592340 -2.013e-06  3.111e-02  7.982e-02  2.072e-05* 5.661e-05*
