#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\mc\hexane.mc
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\xyzq\hexane_optim.xyzq
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\hexane.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\hexane.xyz
# RANDOMSEED 558222221
# TEMPERATURE 500.000000 K
# BOUNDARY 21.750000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 10.000000 s
# ENERGYCONF 4
# GEOMCONF 50
# TOTALCONF 60000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
    448  2.64965e+01  9.835e-02  2.640e+01  0.000e+00 -2.193e-01  3.176e-01  9.837e+00  1.580e+01  7.592e-01  0.000e+00
    452  2.32009e+01  5.816e-02  2.314e+01  0.000e+00 -2.581e-01  3.163e-01  9.010e+00  1.344e+01  6.941e-01  0.000e+00
    456  2.38058e+01  5.447e-02  2.375e+01  0.000e+00 -2.610e-01  3.155e-01  8.760e+00  1.418e+01  8.163e-01  0.000e+00
    460  2.20652e+01  3.750e-03  2.206e+01  0.000e+00 -3.063e-01  3.100e-01  9.730e+00  1.158e+01  7.545e-01  0.000e+00
    464  2.32846e+01  8.970e-03  2.328e+01  0.000e+00 -3.008e-01  3.097e-01  9.929e+00  1.256e+01  7.886e-01  0.000e+00
    468  2.10878e+01 -1.788e-02  2.111e+01  0.000e+00 -3.272e-01  3.093e-01  9.148e+00  1.123e+01  7.313e-01  0.000e+00
    472  1.70858e+01 -3.601e-02  1.712e+01  0.000e+00 -3.440e-01  3.080e-01  5.251e+00  1.116e+01  7.133e-01  0.000e+00
    476  1.67853e+01 -4.028e-02  1.683e+01  0.000e+00 -3.487e-01  3.085e-01  5.226e+00  1.092e+01  6.843e-01  0.000e+00
    480  1.80187e+01 -4.519e-02  1.806e+01  0.000e+00 -3.572e-01  3.120e-01  6.248e+00  1.113e+01  6.890e-01  0.000e+00
    484  1.86664e+01 -5.601e-02  1.872e+01  0.000e+00 -3.677e-01  3.117e-01  7.797e+00  1.033e+01  6.005e-01  0.000e+00
    488  1.92599e+01 -5.142e-02  1.931e+01  0.000e+00 -3.643e-01  3.128e-01  8.329e+00  1.039e+01  5.941e-01  0.000e+00
    492  2.35634e+01 -2.542e-02  2.359e+01  0.000e+00 -3.385e-01  3.131e-01  9.960e+00  1.299e+01  6.416e-01  0.000e+00
