#
# INPUTFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\input\mc\butane_lowT.mc
#
# -- INPUT DATA --
#
# MOLFILE C:\Users\mario\Documents\Code\Python\main_env\Dalton\geom\xyzq\butane.xyzq
# ENERGYOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\butane.dat
# GEOMOUT C:\Users\mario\Documents\Code\Python\main_env\Dalton\output\mc\butane.xyz
# RANDOMSEED 2661654898
# TEMPERATURE 150.000000 K
# BOUNDARY 17.260000 A
# BOUNDARYSPRING 250.000000 kcal/(mol*A^2)
# BOUNDARYTYPE sphere
# STATUSTIME 5.000000 s
# ENERGYCONF 4
# GEOMCONF 50
# TOTALCONF 40000
#
# -- ENERGY DATA --
#
# energy terms [kcal/mol] vs. configuration
#  conf        e_pot  e_nonbond   e_bonded e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
    232  5.09798e+00  4.417e-01  4.656e+00  0.000e+00 -3.886e-02  4.805e-01  1.685e+00  1.859e+00  1.112e+00  0.000e+00
    236  5.47941e+00  4.324e-01  5.047e+00  0.000e+00 -4.666e-02  4.791e-01  1.697e+00  2.263e+00  1.088e+00  0.000e+00
    240  4.89837e+00  4.413e-01  4.457e+00  0.000e+00 -3.938e-02  4.807e-01  1.711e+00  1.660e+00  1.086e+00  0.000e+00
    244  5.70054e+00  4.406e-01  5.260e+00  0.000e+00 -4.014e-02  4.808e-01  2.479e+00  1.691e+00  1.090e+00  0.000e+00
    248  5.37319e+00  4.448e-01  4.928e+00  0.000e+00 -3.669e-02  4.815e-01  1.789e+00  2.017e+00  1.122e+00  0.000e+00
    252  5.80272e+00  4.443e-01  5.358e+00  0.000e+00 -3.675e-02  4.810e-01  2.296e+00  2.014e+00  1.048e+00  0.000e+00
    256  5.33270e+00  4.471e-01  4.886e+00  0.000e+00 -3.409e-02  4.812e-01  2.089e+00  1.757e+00  1.039e+00  0.000e+00
    260  5.49564e+00  4.527e-01  5.043e+00  0.000e+00 -2.965e-02  4.824e-01  1.799e+00  2.239e+00  1.005e+00  0.000e+00
    264  4.06408e+00  4.555e-01  3.609e+00  0.000e+00 -2.763e-02  4.831e-01  7.054e-01  1.932e+00  9.710e-01  0.000e+00
    268  4.17831e+00  4.539e-01  3.724e+00  0.000e+00 -2.925e-02  4.832e-01  1.048e+00  1.684e+00  9.919e-01  0.000e+00
    272  4.14537e+00  4.622e-01  3.683e+00  0.000e+00 -2.204e-02  4.842e-01  1.487e+00  1.227e+00  9.694e-01  0.000e+00
    276  3.87360e+00  4.760e-01  3.398e+00  0.000e+00 -9.634e-03  4.857e-01  1.041e+00  1.356e+00  1.001e+00  0.000e+00
    280  4.13707e+00  4.762e-01  3.661e+00  0.000e+00 -9.474e-03  4.856e-01  1.248e+00  1.440e+00  9.732e-01  0.000e+00
    284  4.04743e+00  4.699e-01  3.578e+00  0.000e+00 -1.502e-02  4.849e-01  8.374e-01  1.760e+00  9.802e-01  0.000e+00
    288  3.73440e+00  4.748e-01  3.260e+00  0.000e+00 -1.074e-02  4.855e-01  8.514e-01  1.459e+00  9.490e-01  0.000e+00
    292  4.77981e+00  4.633e-01  4.316e+00  0.000e+00 -2.021e-02  4.836e-01  1.685e+00  1.648e+00  9.834e-01  0.000e+00
    296  5.24226e+00  4.604e-01  4.782e+00  0.000e+00 -2.252e-02  4.830e-01  2.029e+00  1.769e+00  9.837e-01  0.000e+00
    300  4.45090e+00  4.676e-01  3.983e+00  0.000e+00 -1.621e-02  4.838e-01  1.028e+00  1.969e+00  9.860e-01  0.000e+00
    304  4.39787e+00  4.687e-01  3.929e+00  0.000e+00 -1.534e-02  4.841e-01  7.894e-01  2.122e+00  1.018e+00  0.000e+00
    308  4.33008e+00  4.774e-01  3.853e+00  0.000e+00 -7.579e-03  4.850e-01  7.751e-01  2.156e+00  9.215e-01  0.000e+00
    312  4.58865e+00  4.794e-01  4.109e+00  0.000e+00 -6.312e-03  4.857e-01  1.226e+00  1.914e+00  9.697e-01  0.000e+00
